Year,Title,Role,Notes,Extra_Data_1,Extra_Data_2
1945,Christmas in Connecticut,Alexander Yardley,,22,225
1946,Three Strangers,Jerome K. Arbutny,,929,502
1946,Devotion,William Makepeace Thackeray,,69,663
1946,The Verdict,Supt. George Edward Grodman,,700,41
1947,That Way with Women,James P. Alden,,48,802
1947,The Hucksters,Evan Llewellyn Evans,,947,953
1948,The Velvet Touch,Capt. Danbury,,527,806
1948,Ruthless,Buck Mansfield,,933,912
1948,The Woman in White,Count Alessandro Fosco,,679,198
1949,Flamingo Road,Sheriff Titus Semple,,475,595
1949,Malaya,The Dutchman,,192,666
