Title,Year,Peak chart positionsUS,Peak chart positionsUS R&B,Peak chart positionsUS Rap,Peak chart positionsUK,Certifications,Album
"\Stop the Gunfight\""",,,,,,,
"(Trapp featuring 2Pac and The Notorious B.I.G.)""",1997,77,35,9,—,,Stop the Gunfight
"\Be the Realist\""",,,,,,,
"(Trapp featuring 2Pac and The Notorious B.I.G.)""",1997,—,65,14,—,,Stop the Gunfight
"\Been Around the World\""",,,,,,,
"(Puff Daddy featuring Mase and The Notorious B.I.G.)""",1997,2,7,1,4,,No Way Out
"\It's All About the Benjamins\""",,,,,,,
(Puff Daddy featuring Lil' Kim," The LOX and The Notorious B.I.G.)""",1997,2,7,1,20,
"\Victory\""",,,,,,,
"(Puff Daddy featuring The Notorious B.I.G. and Busta Rhymes)""",1998,19,13,2,—,,No Way Out
"\Runnin' (Dying to Live)\""",,,,,,,
"(2Pac featuring The Notorious B.I.G.)""",2004,19,11,5,17,,Tupac: Resurrection
"\Angels\""",,,,,,,
"(Diddy-Dirty Money featuring The Notorious B.I.G. and Rick Ross)""",2009,116,71,—,—,,Last Train to Paris
