Years of appearance,Title,Network,Character name,Actor,Notes
1993–1995,General Hospital,ABC,Stone Cates,Michael Sutton,white male teenager
1994,The Real World,MTV,Pedro Zamora,,"openly gay, infected by one of his partners, famous AIDS educator"
1994-,General Hospital,ABC,Robin Scorpio,Kimberly McCullough,"white female teenager, infected by her boyfriend Stone Cates."
1996,Murder One,ABC,Richard Cross,Stanley Tucci,Cross is an unscrupulous businessman whose imminent death from AIDS leads to an ethical awakening.
1997,Oz,HBO,"Various including Antonio Nappa, James Robson, Nat Ginzburg and Clarence Seroy",Various,"Men, infected while in prison, HIV positive inmates are isolated in Unit E, a cell block exclusively for HIV positive inmates not allowed to be amongst general inmate population."
1998,Law & Order,NBC,"Kenneth \Twist\"" Stark""",Jason Hayes,"In the 1998 episode \Carrier\"""
1999,ER,NBC,Jeanie Boulet,Gloria Reuben,"African-American female adult, infected by husband."
2001–2005,Queer as Folk,Showtime,"Vic GrassiBen BrucknerJames \Hunter\"" Montgomery""",Jack WetherallRobert GantHarris Allan,Vic was Michael Novotney's uncle. Ben was Michael's boyfriend and a college professor. Hunter was a former hustler who became Ben and Michael's foster son.
2002,Takalani Sesame,SABC,Kami,puppet,Five-year-old female puppet. Contracted HIV via tainted blood transfusion. World's first HIV-positive Sesame Street Muppet.
2005,Nip/Tuck,FX,Gina Russo,Jessalyn Gilsig,Sex addict. Had a child before she knew she was infected with the virus but the baby did not contract it. Re-appeared briefly to work as a receptionist at McNamara/Troy but died soon after when she fell off a building.
2005–2008,Home and Away,Seven Network,Cassie Turner,Sharni Vinson,"Cassie contracted HIV after sleeping with her older boyfriend Henk, who had contracted the disease from a drug addicted former girlfriend."
2007 -,The Best Years,The N (U.S.),Lee Campbell,Alan Van Sprang,Bisexual Lee owns local hot spot nightclub Colony.
2008,Hollyoaks,Channel 4,Malachy Fisher,Glen Wallace,"Heterosexual male; contracted the disease and kept it a secret from girlfriend Mercedes. He told his brother Kris as he may have contracted it from a one night stand with Merdedes Mercedes & Malachy were to marry but ended their relationship, a row in the pub had Mercedes revealing his disease to his friends & Mum, They couple later married, Mercedes is awiting her results."
2008,South Park,Comedy Central,Eric CartmanKyle Broflovski,Trey ParkerMatt Stone,"In the episode 'Tonsil Trouble' Cartman is infected with HIV during a tonsillectomy When Broflovski mocks him, Cartman secretly injects him with infected blood to pass on the virus. Both are subsequently cured through injections of money into the bloodstream."
