Years of appearance,Title,Network,Character name,Actor,Notes,Dummy_Col_1,Dummy_Col_2,Irrelevant_3
1985,An Early Frost,NBC,Michael Pierson,Aidan Quinn,The first made-for-television film to address people with AIDS.,qPvOixWU,BNnlEHy,q34SNK
1986,St. Elsewhere,NBC,Dr. Robert Caldwell,Mark Harmon,"In \Family Feud\"" aired Jan. 29",CQUoxar,uzyHp,EPRtKJ
1987,Designing Women,CBS,Kendall Dobbs,Tony Goldwyn,"In \Killing All the Right People\""",qKXPu,kGBvtmTK,v5qDD9
1987,The Equalizer,CBS,Mickey Robertson,Corey Carrier,Six year old boy with AIDS is protected from harassment from his neighbors by the titular character.,nBISoF,EVskI,6RTFp
1988,Go Toward the Light,CBS,Ben Madison,Joshua Harris,"A young couple face the realities of life with their child who is diagnosed with AIDS. The young couple (Linda Hamilton, Richard Thomas) try to save their young son from the virus.",tXrBJ,DUGXBXbh,d1eU9mu
1988,Midnight Caller,NBC,Mike BarnesTina CassidyKelly WestRoss Parker,Richard CoxKay LenzJulia MontgomeryJ. D. Lewis,"In \After It Happened\""",QmnBpc,QTsaPtq,OEpA4GEx
1989–1991,Degrassi High,CBC Television,Dwayne Meyers,Darrin Brown,"Heterosexual white male teenager, infected by a summer girlfriend.",yINsQEO,EELeUBLs,yBPog
1989,The Ryan White Story,ABC,Ryan White,Lukas Haas,13-year-old haemophiliac who contracted AIDS from factor VIII,ibQNV,vQeKH,WrqriR
1990–2003,EastEnders,BBC,Mark Fowler,Todd Carty,"Heterosexual male; former runaway who returned to his family after contracting HIV; died of an AIDS-related illness. He is the world's first soap opera character to contract the disease, and also the first to portray an HIV/AIDS character on a major television show outside North America.",hgiXlPQL,WvFKPP,fFFIIUGU
1991–1993,Life Goes On,ABC,Jessie,Chad Lowe,"white male teenager, infected by girlfriend.",OqdiS,VNuGmS,6ike7
1991,thirtysomething,ABC,Peter Montefiore,Peter Frechette,"gay male, infected by his one of his partners",QjIQJ,AEDRsmw,eGasG
1992,Something to Live for: The Alison Gertz Story,ABC,Alison Gertz,Molly Ringwald,"female, infected during a one night affair",jzYOQi,OfEud,SjcyI6
1993,And the Band Played On,HBO,Various,Various,The shows details the original discovery of AIDS and early problems in dealing with the disease,vTMZcaYy,kCWIQXFX,igi4fhPt
1993,NYPD Blue,ABC,Ferdinand Holley,Giancarlo Esposito,"Appears on episode titled \Holley and the Blowfish\""",PPhPz,AoAKpQKT,dx4jbl
