Year,Player,Position,High school,College,Extra_Data_1,Extra_Data_2
2001,Maurice Clarett,RB,Warren G. Harding,Ohio State,664,449
2002,Ben Mauk,QB,Kenton,Wake Forest Cincinnati,31,390
2003,Ray Williams,RB,Cleveland Benedictine,West Virginia,187,584
2004,Tyrell Sutton,RB,Archbishop Hoban,Northwestern,16,199
2005,Delone Carter,RB,Copley,Syracuse,921,703
2006,Brandon Saine,RB,Piqua,Ohio State,525,284
2007,Bart Tanski,QB,Mentor,Bowling Green,413,383
2008,Erick Howard,RB,North Canton Hoover,Akron,411,318
2009,Erick Howard,RB,North Canton Hoover,Akron,610,489
2010,Akise Teague,RB-DB-KR,Youngstown Ursuline,Cincinnati,723,996
2011,Maty Mauk,QB,Kenton,Missouri,426,796
2012,Mitch Trubisky,QB,Mentor,North Carolina,214,950
2013,Dante Booker Jr.,LB,St. Vincent - St. Mary,Ohio State,317,478
