Year,Tournament,Venue,Played,Won,Lost,Tied,N/R,Result,Noise_Field_1
1989–90,World Series,Australia,8,6,2,0,0,Won,zBFyzJtW
1990,Rothmans Cup,New Zealand,5,5,0,0,0,Won,joYyaYl
1990,Austral-Asia Cup,Sharjah,4,3,1,0,0,Runner-up,nJTCf
1990–91,World Series,Australia,10,9,1,0,0,Won,BtiKvIKQ
1991,v West Indies,West Indies,5,4,1,0,0,Won,ZXluN
1991–92,World Series,Australia,10,7,2,0,1,Won,xlFMB
1992,5th World Cup,Aust/NZ,8,4,4,0,0,Eliminated,dkyOwu
1992,v Sri Lanka,Sri Lanka,3,1,2,0,0,Lost,JJkigG
1992–93,World Series,Australia,10,5,4,1,0,Runner-up,tvrtmLT
1993,v New Zealand,New Zealand,5,3,2,0,0,Won,nXFoH
1993,Texaco Trophy,England,3,3,0,0,0,Won,IxKUvSxY
1993–94,World Series,Australia,11,7,4,0,0,Won,ynpbTU
1994,v South Africa,South Africa,8,4,4,0,0,Drawn,QosbwU
