Date,Winning Team,Score,Losing Team,Score,OT,City,State/Province,Arena,Attendance,Filler_1,Noise_Field_2,Unused_3
"January 24, 1994",Calgary,3,Los Angeles,3,(OT),Phoenix,AZ,America West Arena,"14,864",TJbUa,HKTshp,
"February 2, 1994",Washington,5,Philadelphia,2,,Cleveland,OH,Richfield Coliseum,"8,312",esiKEx,fNGMYMi,
"February 8, 1994",San Jose,4,Chicago,3,,Sacramento,CA,ARCO Arena,"14,182*",WBHrRAs,ceinikM,
"February 22, 1994",Florida,3,Winnipeg,2,,Hamilton,ON,Copps Coliseum,"6,291",YqvmYrFW,YUZQvyMS,
"February 24, 1994",Detroit,3,Hartford,0,,Cleveland,OH,Richfield Coliseum,"11,621",XgFOhg,sNGURDKn,
"March 4, 1994",Winnipeg,6,Ottawa,1,,Minneapolis,MN,Target Center,"6,388",CuTmMJ,KKCucOh,
"March 8, 1994",Chicago,3,Anaheim,0,,Phoenix,AZ,America West Arena,"13,847",mlPajyh,EYcmQc,
"March 9, 1994",NY Rangers,7,Washington,5,,Halifax,NS,Halifax Metro Centre,"9,200*",tNFpYad,aNJhFuME,
"March 18, 1994",Buffalo,2,NY Islanders,2,(OT),Minneapolis,MN,Target Center,"8,016",BFZdg,wKexw,
"March 23, 1994",Florida,1,Toronto,1,(OT),Hamilton,ON,Copps Coliseum,"17,096*",nxbxP,EcKguiRU,
"March 27, 1994",New Jersey,5,Quebec,2,,Minneapolis,MN,Target Center,"6,222",oFYNmXp,YdxoAdV,
"April 3, 1994",Pittsburgh,6,Boston,2,,Cleveland,OH,Richfield Coliseum,"17,224",sKnAZ,eaNgsvIr,
"April 3, 1994",Los Angeles,6,Edmonton,1,,Sacramento,CA,ARCO Arena,"10,363",yCplx,gUMDjSVU,
