Name,Position,Height,Weight,Date Of Birth,Current/Last Known Team,Random_Column_1,Extra_Data_2
Jose Olmeda,INF,6'1,170,07/07/1977,Edinburg Coyotes - United League (2006),CGZd1lO,325
Darwin Peguero,P,6'0,192,12/05/1978,Newark Bears - Atlantic League (2005),2Po8lFx,327
Frankie Perez,OF,5'11,185,10/26/1978,Saskatoon Legends (2003),IooF1gs,626
JD Scholten,P,6'6,228,03/04/1980,Sioux City Explorers - American Association (2007),Tc5Zm,537
Chris Seaton,P,6'0,195,09/22/1978,Schaumburg Flyers - Northern League (2003),FCoRz,407
Hirotaka Shimizu,OF,5'11,172,01/18/1978,Sichuan Dragons - Chinese Baseball League (2006),5VPKB,641
Matt Teahen,INF,6'0,210,02/27/1979,Mid-Missouri Mavericks - Frontier League (2004),cdBDEep,508
Angel Tovar,P,6'4,195,04/25/1978,Olmecas de Tabasco - Mexican League (2007),WdSqfzxy,949
Carlos Urquiola (Note: The CBL mis-spelt his last name Uraviola in all official releases.),INF,5'8,150,04/22/1980,"Ceci & Negri Parma - Serie A1, Italy (2005)",vd61GKX,969
Ben Van Iderstine,OF,6'2,200,01/20/1978,Sioux Falls Canaries - American Association (2009),VFtsSL,986
Kenny White,P,6'1,170,11/27/1978,Gary Railcats - Northern League (2004),mQqqK53,486
Floyd Youmans,P,6'1,190,05/11/1964,Saskatoon Legends (2003),UFRb7,871
