Name,Position,Height,Weight,Date Of Birth,Current/Last Known Team
Jonathan Aldridge,INF,5'10,150,10/20/1975,Saskatoon Legends (2003)
Henrry Alvarez,C,6'2,185,10/20/1979,Saskatoon Legends (2003)
Bobby Brown,OF,5'11,180,05/24/1974,Sioux City Explorers - Northern League (2006)
Derek Cockroft,P,6'4,225,11/23/1980,Australian Capital Territory Eagles - Australian Capital Territory A Grade League (2004)
Bienvenido Feliz (Note: The CBL mis-spelt his name Felix in all official releases),P,6'1,210,06/04/1977,Newark Bears - Atlantic League (2005)
David Garcia,P,6'5,203,11/08/1980,Saskatoon Legends (2003)
Craig Kilshaw,P,6'3,195,02/14/1980,Saskatoon Legends (2003)
Joe Kirby,INF,6'0,180,03/23/1979,Brock University Badgers - Ontario University Athletics (2007)
Ryan Koback,P,6'6,245,12/31/1981,Saskatoon Yellow Jackets - Western Major Baseball League (2006)
Javier Lorenzo,P,6'0,168,12/26/1978,Saskatoon Legends (2003)
Alejandro Martínez,INF,6'1,215,05/22/1977,Laredo Broncos - United League (2009)
Sean Murphy,INF,5'10,180,05/03/1972,Elmira Pioneers - Northeast League (2003)
