Number,Name,Year Built,Boat Builder,Current Status,Unused_1,Filler_2
13,No boat,,,,,VDfMNa
14,Hibernia,1961,"Turner & Son, Donegal",Last heard located at Fiddlers Ferry SC,,vWrMWz
15,Hieros,1961,"Turner & Son, Donegal",Understood to be in a garden in Chester,,nNviZDy
16,High & Dry,1961,"Turner & Son, Donegal",Went down in the Persian gulf after 130 degree temperatures in 1981,,XpJCCT
17,Hilsa,1961,"Enterprise Boat Company, Rock Ferry",WKSC-Regularly sailed,,dMViXqTx
18,Hijinx,1960,"Enterprise Boat Company, Rock Ferry",Abersoch,,SVLTm
19,Hilarity,1960,"Williams & Nixon, Deganwy",WKSC-Regularly sailed,,xSVzlG
20,Hilda,1960,"Enterprise Boat Company, Rock Ferry",WKSC-Regularly sailed,,BBkGkygw
21,Highlea,1960,"Williams & Nixon, Deganwy",Last heard in Polperro,,IPgOpPXr
22,Hijack,1961,"Turner & Son, Donegal","Set on fire and destroyed in Nevin,in 1995 after a dispute with local fishermen",,nfXSSFQ
23,Hi-Falutin,1962,"Wirral Boat Co., Rock Ferry",Located at West Cheshire SC,,HOvLnG
