Number,Name,Year Built,Boat Builder,Current Status,Random_Column_1,Random_Column_2,Filler_3
24,Hibiscus,1961,"Enterprise Boat Company, Rock Ferry",Sunk when it disappeared from its mooring at Tranmere in 1984,Db3WI1FS,po43pZt,TsjvRw
25,Hideaway,1961,"JM Lowther, Whitby","Originally built out of class, subsequently altered and accepted by the Association in 1978. Five similar boats thought to have been built but not classed as Hilbres. Last Heard in West Lancs SC in 1996",CmhcbZ,Nua0mVkr,gieHLA
26,Hispaniola,1961,"Enterprise Boat Company, Rock Ferry","Last heard of heard in Irvine, Scotland",90LmD,VRRSr,gAUCgsF
27,Hicotee,1961,"Enterprise Boat Company, Rock Ferry",WKSC-Regularly sailed,mBA7A,bDLPY5X,hUkJlQZW
28,Highland Scot,1961,"Enterprise Boat Company, Rock Ferry",WKSC - Regularly sailed,n1GZ24I,mheVUy,UkRIgzfL
29,Hither,1961,"Enterprise Boat Company, Rock Ferry",WKSC - Regularly sailed,ltF9upV,cCwgK,rLvCQvB
30,Hiatus,1961,"Crossfield Successors, Arnside",Last heard of in Barrow in Furness,An07C,x8j32XB,uDQJPQMk
31,Hi Sheriff,1961,"Crossfield Successors, Arnside",WKSC-Regularly sailed,YcrDoB4,KHTfekbu,mJgEhF
32,Hiraethog,1960,"Williams & Nixon, Deganwy",WKSC-Hilbre Association Boat....Undergoing a rebuild by the Association,h2TcNx,llkmSe,FZVfOku
33,Hiwmor,1961,"Crossfield Successors, Arnside",South East England,vThomv2X,KDQoNy7P,UcGYf
34,Hi Fi,1960,"Crossfield Successors, Arnside",WKSC - Regularly sailed,oPAMP,zsp4Vv2c,abjQOhP
