Number,Name,Year Built,Boat Builder,Current Status
35,Hilo,1961,"Enterprise Boat Company, Rock Ferry",Wrecked when escaped moorings at West Kirby SC
36,Hinayana,1961,"Crossfield Successors, Arnside",Poorly repaired in the past and beyond economic repair and subsequently set on fire on bonfire night
37,Hinden,1961,"Crossfield Successors, Arnside",Destroyed when put in a skip in Liverpool by over keen repairers who cut three feet off the stern in 1994
38,Hinemoa,1961,"Enterprise Boat Company, Rock Ferry",WKSC - Regularly sailed
39,Hickory,1961,"Crossfield Successors, Arnside",Burnt on Bonfire Night
40,Hirundo,1961,"Crossfield Successors, Arnside",Broken up and burnt with parts re-used
41,Highcrest,1961,"Crossfield Successors, Arnside",Wrecked when came off its moorings at West Kirby SC
42,Hindu Honey,1962,"Crossfield Successors, Arnside",Destroyed/sank in North Wales with parts made available to the Hilbre Association
43,Hildebrand,1962,"Crossfield Successors, Arnside",Last heard in Northumberland
44,Hibrena,1961,"Crossfield Successors, Arnside",Cut up and burnt in 2002 and parts salvaged for use by the Association
45,Hifactum,1962,"Enterprise Boat Company, Rock Ferry","Lying in a garden in the Irby, Wirral"
