Bridge name,Location,Year completed,Total length,Carries,Noise_Field_1,Extra_Data_2
Wilson River Bridge,"Tillamook County, Oregon",1931,180 feet,U.S. Route 101,AJoGSg,917
Rogue River Bridge,"Grants Pass, Oregon",1931,550 feet,Redwood Highway,oCkRlDA,864
Cape Creek Bridge,near Heceta Head,1932,619 feet (188.6 m),U.S. Route 101,LVwGb,664
Isaac Lee Patterson Bridge,"Gold Beach, Oregon",1932,"1,898 feet (578.5 m)",U.S. Route 101,zsysPdr,378
John McLoughlin Bridge,"Oregon City, Oregon",1933,720 feet,Oregon Route 99E,ReqrmsFh,835
Umpqua River Bridge,"Reedsport, Oregon",1936,"2,206 feet",U.S. Route 101,TOfjMyEx,6
Siuslaw River Bridge,"Florence, Oregon",1936,"1,568 feet",U.S. Route 101,sNHXBdAL,869
Alsea Bay Bridge,"Waldport, Oregon",1936,"3,028 feet",U.S. Route 101,KzLSU,831
Yaquina Bay Bridge,"Newport, Oregon",1936,"3,223 feet (982 m)",U.S. Route 101,UivoWREh,916
Coos Bay Bridge,"North Bend, Oregon",1936,"5,305 feet (1.6 km)",U.S. Route 101,BxBGIq,242
