Name,Position,Birth Date/Age at start of campaign,Games in campaign,Club,Noise_Field_1,Extra_Data_2,Dummy_Col_3
Erich Burgener,GK,"February 15, 1951 (age 31)",3,Servette,jarUx,579,tgDGRN
Roger Berbig,GK,"November 6, 1954 (age 27)",3,Grasshoppers,BnceWen,826,NObkx
Charly In-Albon,DF,"June 23, 1957 (age 25)",4,Grasshoppers,wqtQDjXj,945,UAQBYxh
Heinz Lüdi,DF,"October 8, 1958 (age 23)",4,FC Zürich,yYgBd,898,XARluzs
Beat Rietmann,DF,"October 24, 1961 (age 20)",2,FC St. Gallen,MLriT,692,AYwYiV
Andy Egli,DF,"May 8, 1958 (age 24)",6,Grasshoppers,lSaoiw,420,PLMaG
Alain Geiger,DF,"November 5, 1960 (age 21)",4,Servette,VoqRYtJ,700,fyaqCi
Marco Schällibaum,DF,"April 6, 1962 (age 20)",1,Grasshoppers,uKlykPHr,232,KwBxM
Marcel Koller,DF,"November 11, 1960 (age 21)",2 (both as sub),Grasshoppers,FKehEIPY,734,YDuxl
René Botteron,MF,"October 17, 1954 (age 27)",1,1. FC Nuremberg FC Basel,PBzggcu,105,WojvlX
Heinz Hermann,MF,"March 28, 1958 (age 24)",6,Grasshoppers,pRvspb,926,OjbJUU
Roger Wehrli,MF,"March 18, 1956 (age 26)",6,Grasshoppers,zyCKJ,287,ouiVE
Lucien Favre,MF,"November 2, 1957 (age 24)",5 (1 as sub),Toulouse Servette,VLXvkB,287,BYlXUE
