Name,Position,Birth Date/Age at start of campaign,Games in campaign,Club
Alfred Scheiwiler,MF,"February 4, 1956 (age 26)",1,Lausanne
Erni Maissen,MF,"January 1, 1958 (age 24)",1 (as sub),FC Zürich FC Basel
Michel Decastel,MF,"October 22, 1955 (age 26)",3,Servette
Ruedi Elsener,MF,"February 18, 1953 (age 29)",4,
Umberto Barberis,MF,"June 5, 1952 (age 30)",3 (1 as sub),AS Monaco Servette
Andre Ladner,MF,"May 20, 1962 (age 20)",1,Grasshoppers
Jean-Paul Brigger,ST,"December 14, 1957 (age 24)",2 (1 as sub),Servette
Hans-Peter Zwicker,ST,"April 7, 1960 (age 22)",2 (both as sub),FC Zürich Lausanne
Claudio Sulser,ST,"October 8, 1955 (age 26)",5,Grasshoppers
Beat Sutter,ST,"December 12, 1962 (age 19)",2 (1 as sub),FC Basel
Raimondo Ponte,ST,"April 4, 1955 (age 27)",4,Grasshoppers
Manfred Braschler,ST,"October 8, 1958 (age 23)",2,FC St. Gallen
