Name,Position,Length[km],Drainage basin area[km2],Confluence[by Lahn-km],Mouth elevation[m above MSL],Filler_1,Filler_2,Dummy_Col_3
Kallenbach,right,14.6,84.7,141.3,132,OsaYcRnO,NRlSa,Zmlvv
Weil,left,46.6,247.9,149.4,130,UwaiE,oUtDQ,KUeehF
Kerkerbach,right,20.7,70.2,176.0,112,LEViqIOg,rkuHIsv,gSXmT
Emsbach,left,39.1,321.8,181.0,110,VgeXTS,uTgRvFE,RmcAKzs
Elbbach,right,40.7,323.7,,109,BecDmQn,dOssVNB,USMYA
Aar,left,49.7,312.6,,103,RscBdW,EJWXYr,qxyxFbQ
Dörsbach,left,32.0,114.0,,94,LVgIUlVE,GkIgJol,oFlFrUI
Gelbach (Aubach),right,39.7,221.2,,93,nbBzSpx,qRwIf,KdTPENbV
Mühlbach,left,32.1,171.9,,85,zRYlJoth,SqsUKI,bTjpW
Emsbach,right,11.5,29.4,,75,oPmHEpnU,wmoZo,KxxsLxIo
