Film,Year,Role,Language
Cel mai iubit dintre pămînteni (The Earth's Most Beloved Son)based on Marin Preda's novel Cel mai iubit dintre pământeni,1993,,Romanian
Balanţa (The Oak),1992,Nela (the starring role),Romanian
Rămînerea (Forgotten by God),1992,,Romanian
"Băiatul cu o singură bretea, also known as Flăcăul cu o singura bretea(\The Boy with a Single Brace\"")""",1991,,Romanian
Cei care plătesc cu viaţa(Those Who Pay with Their Lives),1991,,Romanian
Pasaj,1990,,Romanian
"Marea sfidare (\The great defiance\"")""",1989,,Romanian
"Maria şi marea (\Maria and the Sea\"")""",1988,Maria,Romanian
Anotimpul iubirii (The Season of Love),1986,,Romanian
Secretul lui Bachus(The Secret of Bacchus),1984,the girl in the restaurant(as Maia Morgenstern Istodor),Romanian
Dreptate în lanţuri (Chained Justice),1983,,Romanian
"Prea cald pentru luna mai(\Too hot for the month of May\"")""",1983,,Romanian
