Film,Year,Role,Language,Noise_Field_1
Margo,2006,Margo's stepmother,Romanian,kercNWe
"Visuri otrăvite (\Poisoned Dreams\"")""",2006,Ada's mother,Romanian,Qvkkz
15,2005,Irene,Romanian / French,dayugvZ
L'Homme pressé,"2005, TV",Bonne de Bois de Rose,French,kEUXW
Orient Express,2004,Amalia Frunzetti,Romanian,eGpsCu
Damen tango,2004,,Romanian,akrdabu
The Passion of the Christ,2004,Mary,Aramaic,ZUjahWEw
"Căsătorie imposibilă (\Impossible marriage\"")""","2004, TV series",,Romanian,gkFSI
Bolondok éneke (Fool's Song),2003,Gina,Hungarian / French / Romanian,okFFfzc
A Rózsa énekei (Rose's Songs),2003,Olga,Hungarian,YjDcIGLH
Patul lui Procust (Procust's Bed)Based on Camil Petrescu's novel Patul lui Procust,2001,Doamna T.,Romanian,lbHYu
Dark Prince: The True Story of Dracula,"2000, TV",woman at the fountain,English,gMucgqB
