Film,Year,Role,Language,Filler_1
"Marie, Nonna, la vierge et moi",2000,Nonna,French,OLMFbCK
Kínai védelem (Chinese Defense),1999,,Hungarian,goOZG
Faţă în faţă (Face to Face),1999,,Romanian,LYLbRJI
"Triunghiul morţii (\Triangle of Death\"")""",1999,Regina Maria,Romanian,VWuFqg
Az Álombánya,"1998, TV, short",,Hungarian,gHkmZ
Witman fiúk (Witman Boys),1997,Mrs. Witman,Hungarian,MCDaTP
Omul zilei (The Man of the Day),1997,,Romanian,sEdRebH
"Ulysses' Gaze(original Greek title: Το Βλέμμα του Οδυσσέα, To Vlemma tou Odyssea)",1995,playing opposite Harvey Keitel as Ulysses' wife,English / Greek,RYiGULZf
Siódmy pokój (The Seventh Room),1995,Edith Stein (the starring role),Hungarian,ZYZVxLj
Nostradamus,1994,Helen,English,pEopE
"Trahir (Betrayal, Romanian title: A trada)",1993,woman in prison,French / Romanian,IdSYPc
"Casa din vis (\The House from the Dream\"")""",1993,,Romanian,urLgp
