Title,Contents,Pages,Published,ISBN,Extra_Data_1
"\""The Gift\"" (issue 123-126)""",152,23 October 2012,ISBN 978-161377484-7,,432
Volume 9,"\Time And Tide\"" (issues 145-146)",,,,782
"\""Follow That TARDIS!\"" (issue 147)",,,,,423
"\""Invaders From Gantac\"" (issues 148-150)",,,,,201
"\""Nemesis Of The Daleks\"" (issues 152-155)",,,,,459
"\""Stairway To Heaven\"" (issue 156)",,,,,300
"\""Hunger From The Ends Of Time\"" (issues 157-158)",,,,,18
"\""Train-Flight\"" (issues 159-161)""",140,December 2013,ISBN 978-161377806-7,,971
Omnibus 1,"Collects volumes 1, 2 & 3",356,April 2010,ISBN 978-1-60010-622-4,145
Omnibus 2,"Collects volumes 4, 5 & 6",400,September 2011,ISBN 978-1-60010-998-0,619
Omnibus 3,"Collects volumes 7, 8 & 9",TBC,2014 TBC,ISBN TBC,345
