Title,Contents,Pages,Published,ISBN,Dummy_Col_1
Volume 1,"\The Iron Legion\"" (issues 1–8)",,,,nKwRlXr
"\""City of the Damned\"" (issues 9–16)",,,,,fWhYKE
"\""Timeslip\"" (issues 17–18)",,,,,LtaedJw
"\""The Star Beast\"" (issues 19–26)""",112,July 2008,ISBN 978-1-60010-189-2,,guuYVO
Volume 2,"\The Star Beast\"" (issue 26 only)",,,,owhfo
"\""The Dogs of Doom\"" (issues 27–34)",,,,,CdbZopk
"\""The Time Witch\"" (issues 35–38)",,,,,LpvXpO
"\""Dragon’s Claw\"" (issues 39–45)",,,,,RFAah
"\""The Collector\"" (issue 46)",,,,,fqfuH
"\""Dreamers of Death\"" (issues 47–48)""",120,December 2008,ISBN 978-1-60010-289-9,,XuYkTX
Volume 3,"\Changes\"" (issues 118–119)",,,,dKeeZ
