Title,Contents,Pages,Published,ISBN,Irrelevant_1,Random_Column_2
"\""Culture Shock!\"" (issue 139)",,,,,U1d98DG,k6v4mMR
"\""The World Shapers\"" (issues 127–129)",,,,,wCC6PNO,BRb65AH
"\""The Life Bringer\"" (issues 49–50)",,,,,YE8XX,1gxeH
"\""War of the Worlds\"" (issue 51)",,,,,8AQIS7Lf,OTiO4h
"\""The Spider-God\"" (issue 52)",,,,,TvaieB,mrrbqiv
"\""The Deal\"" (issue 53)",,,,,KHK7oU,RTAya
"\""End of the Line\"" (issues 54–55)",,,,,vkBL03,Fi7a8aI
"\""The Freefall Warriors\"" (issues 56–57)""",128,May 2009,ISBN 978-1-60010-425-1,,1QMvK,JDL8YKi6
Volume 4,"\Junk-Yard Demon\"" (issues 58–59)",,,,kTaQgxyx,wSExJdM
"\""The Neutron Knights\"" (issue 60)",,,,,yI6WH,aUa11
"\""The Tides of Time\"" (issues 61–67)",,,,,wr4NO8M,0jetTc
