Title,Contents,Pages,Published,ISBN
"\""Culture Shock!\"" (issue 139)",,,,
"\""Echoes of the Morgor!\"" (issues 143-144)""",128,September 2011,ISBN 978-1-61377-045-0,
The Dave Gibbons Collection,The Iron Legion (issue 1-8)City of the Damned (issue 9-16)The Star Beast (issue 19-26)Dogs of Doom (issue 27-34)The Time Witch (issue 35-38)Dragon’s Claw (issue 39-45)The Collector (issue 46)Dreamers of Death (issue 47-48)The Life Bringer! (issue 49-50)The War of Words (issue 51)Spider-God (issue 52)The Deal (issue 53)End of the Line (issue 54-55)The Freefall Warriors (issue 56-57)The Neutron Knights (issue 60)The Tides of Time (issue 61-67)Stars Fell on Stockbridge (issue 68-69),372,December 2011,ISBN 978-1-61377-063-4
Volume 8,"\Exodus\"" (issue 108)",,,
"\""Revelation\"" (issue 109)",,,,
"\""Genesis\"" (issue 110)",,,,
"\""Nature Of The Beast\"" (issue 111-113)",,,,
"\""Time Bomb\"" (issue 114-116)",,,,
"\""Salad Daze\"" (issue 117)",,,,
"\""Changes\"" (issue 118-119)",,,,
"\""Profits Of Doom\"" (issue 120-122)",,,,
