Title,Contents,Pages,Published,ISBN,Extra_Data_1,Extra_Data_2
"\""Stars Fell on Stockbridge\"" (issues 68–69)",,,,,635,582
"\""The Stockbridge Horror\"" (issues 70–75)""",152,November 2009,ISBN 978-1-60010-534-0,,140,672
Volume 5,"\Lunar Lagoon\"" (issues 76–77)",,,,180,64
"\""4-Dimensional Vistas\"" (issues 78–83)",,,,,730,25
"\""The Moderator\"" (issues 84", 86–87),,,,928,348
"\""Skywatch-7\"" (issue 58)""",104,March 2010,ISBN 978-1-60010-608-8,,939,189
Volume 6,"\The Shape Shifter\"" (issues 88–89)",,,,149,606
"\""Voyager"," Parts 1–5\"" (issues 90–94)",,,,741,152
"\""Polly The Glot\"" (issues 95–97)",,,,,280,821
"\""Once Upon A Time Lord\"" (issues 98–99)",,,,,11,66
"\""War-Game"," Parts 1 & 2\"" (issues 100–101)",,,,722,183
