Boat #,Name,Builder,Laid down,Launched,Completed,Fate,Extra_Data_1,Extra_Data_2,Dummy_Col_3
4933,Ha-223,Kawasaki-Kōbe Shipyard,01-05-1945,,,"Incomplete until the end of war (60%). Scrapped, June 1946.",0,413,SpwEFC
4934,Ha-224,Mitsubishi-Kōbe Shipyard,07-06-1945,,,"Incomplete until the end of war (55%). Scrapped, June 1946.",138,728,ipnpf
4935,Ha-225,Mitsubishi-Kōbe Shipyard,07-06-1945,,,"Incomplete until the end of war (45%). Scrapped, June 1946.",745,530,HpEOj
4936,Ha-226,Mitsubishi-Kōbe Shipyard,16-06-1945,,,"Incomplete until the end of war (35%). Scrapped, June 1946.",40,864,bSNFcEBL
4937,Ha-227,Mitsubishi-Kōbe Shipyard,10-07-1945,,,"Incomplete until the end of war (25%). Scrapped, June 1946.",89,600,YpAMX
4938,Ha-228,Sasebo Naval Arsenal,21-06-1945,18-07-1945,,Incomplete until the end of war (75%). Scuttled off Sasebo 05-04-1946.,470,940,CxAgq
4939,Ha-229,Sasebo Naval Arsenal,27-06-1945,27-07-1945,,"Incomplete until the end of war (75%). Scrapped, December 1946.",988,224,FxUwji
4940,Ha-230,Sasebo Naval Arsenal,03-07-1945,,,"Incomplete until the end of war (60%). Scrapped, December 1946.",669,453,zqUhc
4941,Ha-231,Sasebo Naval Arsenal,12-07-1945,,,Incomplete until the end of war (50%). Later scrapped.,67,611,xnCZwWzt
4942,Ha-232,Sasebo Naval Arsenal,18-07-1945,,,Incomplete until the end of war (40%). Later scrapped.,764,676,YgKytRq
4943,Ha-233,Kawasaki-Senshū Shipyard,01-06-1945,,,Incomplete until the end of war (10%). Later scrapped.,525,95,SPrGgjEl
