Boat #,Name,Builder,Laid down,Launched,Completed,Fate
4944,Ha-234,Kawasaki-Kōbe Shipyard,15-05-1945,,,"Incomplete until the end of war (50%). Scrapped, June 1946."
4945,Ha-235,Kawasaki-Senshū Shipyard,01-06-1945,,,Incomplete until the end of war (10%). Later scrapped.
4946,Ha-236,Kawasaki-Kōbe Shipyard,01-06-1945,,,"Incomplete until the end of war (40%). Scrapped, June 1946."
4947,Ha-237,Mitsubishi-Kōbe Shipyard,10-07-1945,,,"Incomplete until the end of war (25%). Scrapped, June 1946."
4948,Ha-238,Mitsubishi-Kōbe Shipyard,01-08-1945,,,"Incomplete until the end of war (15%). Scrapped, June 1946."
4949,Ha-239,Mitsubishi-Kōbe Shipyard,01-08-1945,,,"Incomplete until the end of war. Scrapped, June 1946."
4950,Ha-240,Mitsubishi-Kōbe Shipyard,01-08-1945,,,"Incomplete until the end of war. Scrapped, June 1946."
4951 - 4955,,,,,,Constructions were not started until the end of war.
4956,Ha-246,Kawasaki-Senshū Shipyard,13-07-1945,,,Incomplete until the end of war (5%). Later scrapped.
4957,Ha-247,Kawasaki-Kōbe Shipyard,26-06-1945,,,Incomplete until the end of war. Later scrapped.
4958 - 4989,,,,,,Constructions were not started until the end of war.
