Boat #,Name,Builder,Laid down,Launched,Completed,Fate,Irrelevant_1,Random_Column_2,Dummy_Col_3
4922,Ha-212,Kawasaki-Kōbe Shipyard,10-04-1945,25-06-1945,,"Incomplete until the end of war (95%). Scuttled at Kii Channel, May 1946.",t8tehL,7YHoCq,tLEbbr
4923,Ha-213,Mitsubishi-Kōbe Shipyard,15-05-1945,29-07-1945,,Incomplete until the end of war (93%). Scuttled at Kii Channel 06-05-1946.,ZrTM1jHp,JegBPSEt,mbdPUwgy
4924,Ha-214,Mitsubishi-Kōbe Shipyard,15-05-1945,15-08-1945,,Incomplete until the end of war (75%). Scuttled at Kii Channel 06-05-1946.,yYglSOW5,R59Mo6V,aIHIzLY
4925,Ha-215,Sasebo Naval Arsenal,22-05-1945,15-05-1945,,Incomplete until the end of war (95%). Scuttled off Sasebo 05-04-1946.,i9C7qo2,KWNDqRS2,VoatGms
4926,Ha-216,Sasebo Naval Arsenal,27-05-1945,19-06-1945,16-08-1945,Decommissioned 30-11-1945. Scuttled off Sasebo 05-04-1946.,icrf8,tYzStpZ,lAUcSYMf
4927,Ha-217,Sasebo Naval Arsenal,02-06-1945,26-06-1945,,Incomplete until the end of war (90%). Scuttled off Sasebo 05-04-1946.,l4jU5PQ,W5Knzh9,XlqUThm
4928,Ha-218,Sasebo Naval Arsenal,08-06-1945,02-07-1945,,"Incomplete until the end of war (90%). Scrapped, December 1946.",ab44w2xm,hMVs8,UAwdOf
4929,Ha-219,Sasebo Naval Arsenal,15-06-1945,12-07-1945,,Incomplete until the end of war (90%). Scuttled off Sasebo 05-04-1946.,cmx8jA,mWgkSW,ULZVFeU
4930,Ha-220,Kawasaki-Senshū Shipyard,10-05-1945,,,"Incomplete until the end of war (20%). Scrapped, June 1946.",as4WdW,KZkMZtI,ewLWnBH
4931,Ha-221,Mitsubishi-Kōbe Shipyard,20-04-1945,04-08-1945,,"Incomplete until the end of war (85%). Scuttled at Kii Channel, 06-05-1946.",mgTLo,BPwV0wH,zEosl
4932,Ha-222,Kawasaki-Senshū Shipyard,15-05-1945,,,"Incomplete until the end of war (15%). Scrapped, June 1946.",rhzlpFw,Zba0I,QSFAH
