,District,Headquarters,Population(2011),Males,Females,PercentageDecadalGrowth2001-2011,Sex Ratio,Density(Personsperkm2),ChildPopulation0–6 years,ChildSexratio,Literacy rate,Noise_Field_1
1,Angul,Angul,"1,271,703","654,898","616,805",11.55,942,199,"145,690",884,78.96,BWkOATcO
2,Balangir,Balangir,"1,648,574","831,349","817,225",23.29,983,251,"206,964",951,65.50,EEkAoKdw
3,Balasore,Baleswar,"2,317,419","1,184,371","1,133,048",14.47,957,609,"274,432",941,80.66,VpkVBdKd
4,Bargarh,Bargarh,"1,478,833","748,332","730,501",9.84,976,253,"156,185",946,75.16,SjejrHWu
5,Bhadrak,Bhadrak,"1,506,522","760,591","745,931",12.95,981,601,"176,793",931,83.25,DnkjTHW
6,Boudh,Boudh,"439,917","220,993","218,924",17.82,991,142,"59,094",975,72.51,JitRzABJ
7,Cuttack,Cuttack,"2,618,708","1,339,153","1,279,555",11.87,955,666,"251,152",913,84.20,IPbeMR
8,Debagarh,Debagarh,"312,164","158,017","154,147",13.88,976,106,"38,621",917,73.07,PloBUdU
9,Dhenkanal,Dhenkanal,"1,192,948","612,597","580,351",11.82,947,268,"132,647",870,79.41,AbvUcRt
10,Gajapati,Paralakhemundi,"575,880","282,041","293,839",10.99,"1,042",133,"82,777",964,54.29,GtOeGb
