Abbreviation,Settlement,District,Official Name,Division,Cup,Other information,Filler_1,Extra_Data_2
TuPS 2,Tuusula,Uusimaa,Tuusulan Palloseura / 2,Kutonen,*,,xjTGkf,385
TuPV,Turku,Turku,Turun Pallo-Veikot,Vitonen,* *,,ESjQqTx,656
TUS,"Terjärv, Kronoby (Kruunupyy)",Keski-Pohjanmaa,Terjärv Ungdoms Sportklubb,Nelonen,* *,,qzpqaE,320
TUS II,"Terjärv, Kronoby (Kruunupyy)",Keski-Pohjanmaa,Terjärv Ungdoms Sportklubb / II,Vitonen,*,,mgOFNBH,377
TuTo,Turku,Turku,Turun Toverit,Kolmonen,*,,VNlYXH,833
TuTo 2,Turku,Turku,Turun Toverit / 2,Kutonen,*,,ofvYyd,565
TuWe,Turku,Turku,Turun Weikot,Nelonen,*,,fYoOf,541
TuWe 2,Turku,Turku,Turun Weikot / 2,Kutonen,*,,aFpkCRCS,390
TuWe 3,Turku,Turku,Turun Weikot / 3,Kutonen,*,,tMMWxO,46
Töjby FC,"Töjby, Närpes",Vaasa,Töjby FC,Kutonen,*,,ISMyhq,41
Töölön Taisto,Töölö,Helsinki,Töölön Taisto,Nelonen,* *,,YhwsNAP,302
