Abbreviation,Settlement,District,Official Name,Division,Cup,Other information,Irrelevant_1,Irrelevant_2,Dummy_Col_3
TPK 2,Turku,Turku,Turun Pallokerho / 2,Nelonen,* *,,FP8Suwhn,tJnvTK,jcsmvyMt
TPS,Turku,Turku,Turun Palloseura,Veikkausliiga,* * *,,da0fsO42,hhgFjp,cnXKpExb
TPV,Tampere,Tampere,Tampereen Palloveikot,Ykkönen,* * *,,t0JtgZl,XLDyCMug,KTBtd
TPV 2,Tampere,Tampere,Tampereen Pallo-Veikot / 2,Kolmonen,* *,,UmqZleN,oanf1S8,UKcVtYYB
Trikiinit,Helsinki,Helsinki,Trikiinit,Kutonen,*,,5wtCiVT,DLLr9,PNtvnX
Träfk,Järvenpää,Uusimaa,Träskända Fotboll Klub,Kutonen,*,,KPHFFN,uLSWvCAx,yqvNZKq
TsV,Taipalsaari,Kaakkois-Suomi,Taipalsaaren Veikot,Nelonen,*,,XEpHW2pQ,6iaWndZ,MsAkN
TuHa,Turku,Turku,Turun Haka,Kutonen,*,,OINAnuD,DqRSCi,ZDIto
Tuisku Daltonit,Orivesi,Tampere,Oriveden Tuisku / Daltonit,Vitonen,*,,i2f9BvFY,iwpzLcK2,ApPwV
TuKV,Turku,Turku,Turun Kisa-Veikot,Vitonen,*,,MzYxM,9jsFd2,DvNCqi
TuPS,Tuusula,Uusimaa,Tuusulan Palloseura,Kolmonen,* *,,UQ6573,zZRPR,NUZHwj
