Abbreviation,Settlement,District,Official Name,Division,Cup,Other information
ToTa,Tornio,Pohjois-Suomi,Tornion Tarmo,Kolmonen,*,
ToTe/AP,Toukola,Helsinki,Toukolan Teräs / Avauspotku,Vitonen,* *,
ToU,"Toivala, Siilinjärvi",Itä-Suomi,Toivalan Urheilijat,Nelonen,* *,
ToU/2,"Toivala, Siilinjärvi",Itä-Suomi,Toivalan Urheilijat / 2,Vitonen,*,
TOVE,Pori,Satakunta,Toejoen Veikot,Kolmonen,* *,
TOVE2,Pori,Satakunta,Toejoen Veikot / 2,Vitonen,*,
TP-47,Tornio,Pohjois-Suomi,Tornion Pallo-47,Kakkonen,* * *,
TP-49,"Toijala, Akaa",Tampere,Toijalan Pallo-49,Nelonen,* *,Also abbreviated as ToiP -49.
TP-Seinäjoki,Seinäjoki,Vaasa,TP-Seinäjoki (Törnävän Pallo),Nelonen,*,
TP-T,Tampere,Tampere,Tampereen Peli-Toverit,Kolmonen,* *,
TPK,Turku,Turku,Turun Pallokerho,Kolmonen,* *,
