Abbreviation,Settlement,District,Official Name,Division,Cup,Other information
TeTe,"Tervalaakso, Vaasa",Vaasa,Tervalaakson Teräs,Vitonen,* *,
TGrani,Kauniainen,Uusimaa,Team Grani,Nelonen,*,
Tikka,Espoo,Uusimaa,Espoon Tikka,Vitonen,* *,
Tikka -88,Espoo,Uusimaa,Espoon Tikka / -88,Kutonen,*,
TiPS,"Tikkurila, Vantaa",Uusimaa,Tikkurilan Palloseura,Kolmonen,* *,
TiPS M2,Tikkurila,Uusimaa,Tikkurilan Palloseura / M2,Kutonen,*,
TJK LiePo,Tampere,Tampere,Tampereen Jalkapalloklubi / LiePo,Vitonen,*,
TKT,Tampere,Tampere,Tampereen Kisatoverit,Kolmonen,* *,
TKT KooTee,Tampere,Tampere,Tampereen Kisatoverit / KooTee,Vitonen,*,
ToPS-90,Tohmajärvi,Itä-Suomi,Tohmajärven Palloseura-90,Nelonen,* *,
Torre Calcio,Turku,Turku,Torre Calcio,Kutonen,*,
