#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record
79,July 1,@ Braves,8–4,Gonzalez (11–3),Hudson (6–4),,"18,796",45–32
80,July 3,Giants,9–3,Zimmermann (5–6),Lincecum (3–9),,"36,985",46–32
81,July 4,Giants,9–4,Jackson (5–4),Bumgarner (10–5),,"35,806",47–32
82,July 5,Giants,6–5,Clippard (2–2),Casilla (2–4),,"29,819",48–32
83,July 6,Rockies,1–5,Pomeranz (1–3),Strasburg (9–4),Betancourt (14),"28,951",48–33
84,July 7,Rockies,4–1,Gonzalez (12–3),Francis (2–2),Clippard (14),"28,032",49–33
85,July 8,Rockies,3–4,Brothers (4–2),Clippard (2–3),Betancourt (15),"25,125",49–34
–,July 10,"2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri"
86,July 13,@ Marlins,5–1,Zimmermann (6–6),Johnson (5–6),,"30,911",50–34
87,July 14,@ Marlins,1–2,Buehrle (9–8),Gonzalez (12–4),Cishek (2),"28,707",50–35
88,July 15,@ Marlins,4–0,Strasburg (10–4),Nolasco (8–7),,"29,889",51–35
89,July 16,@ Marlins,3–5,Zambrano (5–7),Jackson (5–5),Dunn (1),"29,248",51–36
90,July 17,Mets,5–4 (10),Mattheus (3–1),Byrdak (2–1),,"26,342",52–36
91,July 18,Mets,4–3,Zimmermann (7–6),Young (2–4),Clippard (15),"31,660",53–36
