#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Unused_1
92,July 19,Mets,5–9,Dickey (13–1),Gonzalez (12–5),,"36,389",53–37,
93,July 20,Braves,10–11 (11),O'Flaherty (2–0),Gorzelanny (2–2),Durbin (1),"34,228",53–38,
94,July 21,Braves,0–4,Sheets (2–0),Jackson (5–6),,"28,745",53–39,
52,July 21,Braves,5–2,Lannan (1–0),Martínez (4–2),Clippard (16),"40,047",54–39,
95,July 22,Braves,9–2,Detwiler (5–3),Jurrjens (3–4),,"34,917",55–39,
96,July 23,@ Mets,8–2 (10),Gorzelanny (3–2),Byrdak (2–2),,"26,735",56–39,
97,July 24,@ Mets,5–2,Gonzalez (13–5),Dickey (13–2),Clippard (17),"36,236",57–39,
98,July 25,@ Mets,5–2,Strasburg (11–4),Hefner (1–4),Clippard (18),"35,517",58–39,
99,July 26,@ Brewers,8–2,Jackson (6–6),Gallardo (8–8),,"33,176",59–39,
100,July 27,@ Brewers,0–6,Fiers (4–4),Detwiler (5–4),,"35,858",59–40,
101,July 28,@ Brewers,4–1,Zimmermann (8–6),Wolf (3–7),Clippard (19),"41,890",60–40,
102,July 29,@ Brewers,11–10 (11),Stammen (4–1),Veras (3–4),Clippard (20),"44,663",61–40,
103,July 31,Phillies,0–8,Lee (2–6),Strasburg (11–5),,"30,167",61–41,
