Country,Zone,National Federation,#GM,#FIDE,National Championship
Seychelles,4.2,Seychelles Chess Federation,0,9,Seychelles Chess Championship
Singapore,3.3,Singapore Chess Federation [64],4,132,Singaporean Chess Championship
Slovakia,1.4,Slovensky Sachovy Zvaz [65],9,1152,Slovak Chess Championship
Slovenia,1.2a,Sahovska Zveza Slovenije [66],5,548,Slovenian Chess Championship
South Africa,4.3,Chess South Africa [67],0,99,South African Chess Championship
Spain,1.1c,Federacion Espanola de Ajedrez [68],27,6901,Spanish Chess Championship
Sweden,1.3,Sveriges Schackförbund [69],16,800,Swedish Chess Championship
Switzerland,1.2a,Schweizerischer Schachbund [70],7,1015,Swiss Chess Championship
Syria,3.1,Syrian Arab Chess Federation,0,106,Syrian Chess Championship
Tajikistan,3.4,Federazijai Shakhmati Tajikistan,1,17,Tajikistani Chess Championship
