Country,Zone,National Federation,#GM,#FIDE,National Championship
Albania,1.5a,Federata Shqiptare e Shahut [1],1,45,Albanian Chess Championship
Argentina,2.5,Fed. Argentina de Ajedrez [2],12,1265,Argentine Chess Championship
Armenia,1.5b,Armenian Chess Federation [3],20,255,Armenian Chess Championship
Australia,3.6,Australian Chess Federation [4],2,468,Australian Chess Championship
Austria,1.2a,Österreichischer Schachbund [5],5,1477,Austrian Chess Championship
Azerbaijan,1.8,Azerbaijan Chess Federation [6],16,238,Azerbaijani Chess Championship
Bangladesh,3.2,Bangladesh Chess Federation [7],5,336,Bangladeshi Chess Championship
Belarus,1.8,Belarus Chess Federation [8],13,425,Belarusian Chess Championship
Belgium,1.1b,Koninklijke Belgische Schaakbond/Fed. Royale Belge des Echecs [9],4,618,Belgian Chess Championship
Bosnia and Herzegovina,1.2b,Sahovski Savez Bosne i Hercegovine [10],5,267,Bosnia and Herzegovina Chess Championship
Brazil,2.4,Confed. Brasileira de Xadrez [11],7,993,Brazilian Chess Championship
