Country,Zone,National Federation,#GM,#FIDE,National Championship
Jamaica,2.3a,Jamaica Chess Federation [37],0,31,Jamaican Chess Championship
Japan,3.3,Japan Chess Association [38],0,61,Japanese Chess Championship
Kazakhstan,3.4,Chess Fed. of Rep. of Kazakhstan,10,338,Kazakhstani Chess Championship
Latvia,1.7,Latvijas Saha Savieniba [39],7,217,Latvian Chess Championship
Lebanon,3.1,Federation Libanaise des Echecs [40],0,55,Lebanese Chess Championship
Lithuania,1.7,Lietuvos Sachmatu Federacija [41],6,353,Lithuanian Chess Championship
Luxembourg,1.1b,Federation Luxembourgeoise des Echecs [42],1,99,Luxembourgian Chess Championship
Malaysia,3.3,Malaysia Chess Federation [43],0,161,Malaysian Chess Championship
Malta,1.5a,Il-Federazzjoni Maltija tac-Cess [44],0,32,Maltese Chess Championship
Mexico,2.3c,Fed. Nac. de Ajedrez de Mexico AC [45],3,553,Mexican Chess Championship
Moldova,1.8,Fed. de Sah a Republicii Moldova [46],6,283,Moldovan Chess Championship
