Country,Zone,National Federation,#GM,#FIDE,National Championship
Egypt,4.2,Egyptian Chess Federation,2,350,Egyptian Chess Championship
England,1.1a,English Chess Federation [21],35,1211,British Chess Championship
Estonia,1.7,Eesti Maleliit [22],4,150,Estonian Chess Championship
Faroe Islands,1.3,Talvsamband Foroya [23],0,57,Faroe Islands Chess Championship
Fiji,3.6,Fiji Chess Federation [24],0,9,Fijian Chess Championship
Finland,1.3,Suomen Keskusshakkiliitto [25],5,437,Finnish Chess Championship
France,1.1b,Fédération Française des Échecs [26],31,5596,French Chess Championship
Georgia,1.5b,Chess Federation of Georgia,22,352,Georgian Chess Championship
Germany,1.2a,Deutscher Schachbund [27],66,10897,German Chess Championship
Greece,1.5a,Elliniki Skakistiki Omospondia [28],10,1252,Greek Chess Championship
Guatemala,2.3.2,Fed. Nac. de Ajedrez de Guatemala,0,43,Guatemalan Chess Championship
