Country,Zone,National Federation,#GM,#FIDE,National Championship,Unused_1
Guyana,-,Guyana Chess Federation,-,-,Guyanese Chess Championship,
Hong Kong,3.3,Hong Kong Chess Federation,0,22,Hong Kong Chess Championship,
Hungary,1.4,Magyar Sakkszovetseg [29],40,2817,Hungarian Chess Championship,
Iceland,1.3,Skaksamband Islands [30],11,227,Icelandic Chess Championship,
India,3.2,All India Chess Federation [31],15,3154,Indian Chess Championship,
Indonesia,3.3,Persatuan Catur Seluruh Indonesia [32],3,158,Indonesian Chess Championship,
Iran,3.1,Chess Fed. of lslamic Rep. of Iran [33],4,516,Iranian Chess Championship,
Iraq,3.1,Iraqi Chess Federation,0,174,Iraqi Chess Championship,
Ireland,1.1a,Irish Chess Union [34],1,139,Irish Chess Championship,
Israel,1.2b,Israel Chess Federation [35],34,717,Israeli Chess Championship,
Italy,1.1c,Federazione Scacchistica Italiana [36],6,2308,Italian Chess Championship,
