Country,Zone,National Federation,#GM,#FIDE,National Championship
Bulgaria,1.4,Българска федерация по шахмат [12],25,606,Bulgarian Chess Championship
Canada,2.2,Chess Federation of Canada [13],6,445,Canadian Chess Championship
Chile,2.5,Fed. Deportiva Nacional De Ajedrez,2,729,Chilean Chess Championship
China,3.5,Chinese Chess Association [14],19,345,Chinese Chess Championship
Colombia,2.3b,Fed. Colombiana de Ajedrez [15],3,385,Colombian Chess Championship
Costa Rica,2.3c,Federacion Central de Ajedrez [16],1,88,Costa Rican Chess Championship
Croatia,1.2b,Croatian Chess Federation [17],29,1317,Croatian Chess Championship
Cuba,2.3a,Fed. Cubana de Ajedrez,13,885,Cuban Chess Championship
Czech Republic,1.4,Šachový svaz České republiky [18],23,2541,Czech Chess Championship
Denmark,1.3,Dansk Skak Union [19],8,999,Danish Chess Championship
Ecuador,2.3b,Fed. Ecuatoriana de Ajedrez [20],1,392,Ecuadorian Chess Championship
