Country,Zone,National Federation,#GM,#FIDE,National Championship
Philippines,3.3,Nat. Chess Fed. of the Philippines website,5,179,Philippine Chess Championship
Palestine,3.1,Palestine Chess Federation,1,33,Palestinian Chess Championship
Poland,1.4,Polish Chess Federation [56],25,3469,Polish Chess Championship
Portugal,1.1c,Federação Portuguesa de Xadrez [57],2,678,Portuguese Chess Championship
Puerto Rico,2.3a,Fed. de Ajedrez de Puerto Rico [58],0,57,Puerto Rican Chess Championship
Qatar,3.1,Qatar Chess Association [59],2,32,Qatari Chess Championship
Romania,1.4,Federatia Romana de Sah [60],17,1388,Romanian Chess Championship
Russia,1.6,Russian Chess Federation [61],174,9853,Russian Chess Championship
Scotland,1.1a,Chess Scotland [62],5,193,Scottish Chess Championship
Serbia,1.5a,Chess Federation of Serbia [63],44,2427,Serbian Chess Championship
