Country,Zone,National Federation,#GM,#FIDE,National Championship
Turkey,1.5a,Turkiye Satranc Federasyonu [71],2,545,Turkish Chess Championship
Ukraine,1.9,Ukrainian Chess Federation [72],64,1628,Ukrainian Chess Championship
United Arab Emirates,3.1,UAE Chess Federation [73],1,133,Emirati Chess Championship
United States,2.1,United States Chess Federation [74],61,1785,U.S. Chess ChampionshipU.S. Women's Chess Championship
Uruguay,2.5,Federación Uruguaya de Ajedrez [75],1,90,Uruguayan Chess Championship
Uzbekistan,3.6,Chess Federation of Uzbekistan [76],9,168,Uzbekistani Chess Championship
Venezuela,2.3c,Fed. Venezolana de Ajedrez [77],1,136,Venezuelan Chess Championship
Vietnam,3.3,Lien Doan Co Viet Nam [78],5,120,Vietnamese Chess Championship
Wales,1.1a,Welsh Chess Union [79],0,117,Welsh Chess Championship
Zambia,4.3,Chess Federation of Zambia,1,21,Zambian Chess Championship
