Ranking,Company,Industry,Revenue (USD billions),FY,Capitalization (USD billions),Employees,Listing,Headquarters,CEO
34,Trafigura,Commodities,$133,"September 30, 2013",,"8,773",—,Lucerne,Claude Dauphin
35,Statoil,Oil and gas,$130,"December 31, 2012",$86,"23,000",OSE: STL,Stavanger,Helge Lund
36,GDF Suez,Electricity and gas utility,$128,"December 31, 2012",$58,"161,000",Euronext: SZE,Paris,Gérard Mestrallet
37,AT&T,Telecommunications,$127,"December 31, 2012",$185,"256,000",NYSE: T,"Dallas, Texas",Randall L. Stephenson
38,Pemex,Oil and gas,$127,"December 31, 2012",,"138,000",—,Mexico City,Juan José Suárez Coppel
39,PDVSA,Oil and gas,$124,"December 31, 2012",,"121,000",—,Caracas,Rafael Ramírez
40,CVS Caremark,Retail,$123,"December 31, 2012",$59,"202,000",NYSE: CVS,"Woonsocket, Rhode Island",Larry J. Merlo
41,McKesson,Pharmaceuticals,$122,"March 31, 2013",$22,"32,000",NYSE: MCK,"San Francisco, California",John Hammergren
42,JX Holdings,Oil and gas,$119,"March 31, 2013",$16,"24,000",TYO: 5020,Tokyo,—
43,AXA,Financial services,$118,"December 31, 2012",$39,"240,000",Euronext: CS,Paris,Henri de Castries
44,Assicurazioni Generali,Financial services,$116,"December 31, 2012",$24,"85,000",BIT: G,Trieste,Sergio Balbinot; Giovanni Perissinotto
