Ranking,Company,Industry,Revenue (USD billions),FY,Capitalization (USD billions),Employees,Listing,Headquarters,CEO
23,General Motors,Automotive,$152,"December 31, 2012",$40,"284,000",NYSE: GM,"Detroit, Michigan",Daniel Akerson
24,Daimler,Automotive,$150,"December 31, 2012",$64,"275,087",FWB: DAI,Stuttgart,Dieter Zetsche
25,General Electric,Conglomerate,$147,"December 31, 2012",$212,"287,000",NYSE: GE,"Fairfield, Connecticut",Jeffrey Immelt
26,Kuwait Petroleum Corporation,Oil and gas,$145,"March 31, 2012",,"17,927",,Kuwait City,Saad Al Shuwaib
27,Petrobras,Oil and gas,$144,"December 31, 2012",$171,"81,000",Bovespa: PETR3; Bovespa: 4,Rio de Janeiro,Maria das Graças Foster
28,Allianz,Financial services,$140,"December 31, 2012",$54,"142,000",ISIN: DE0008404005,Munich,Michael Diekmann
29,Valero Energy,Oil and gas,$139,"December 31, 2012",$16,"22,000",NYSE: VLO,"San Antonio, Texas",William R. Klesse
30,Lukoil,Oil and gas,$139,"December 31, 2012",$51,"120,000",MCX: LKOH,Moscow,Vagit Alekperov
31,Cargill,Food processing,$136,"May 31, 2013",,"158,000",—,"Wayzata, Minnesota",Gregory R. Page
32,Hon Hai Precision Industry,Electronics,$134,"December 31, 2012",$41,"1,290,000",TWSE: 2317,Tucheng,Terry Gou
33,Ford Motor Company,Automotive,$134,"December 31, 2012",$47,"164,000",NYSE: F,"Dearborn, Michigan",Alan Mulally
