Ranking,Company,Industry,Revenue (USD billions),FY,Capitalization (USD billions),Employees,Listing,Headquarters,CEO
1,"Wal-Mart Stores, Inc.",Retail,$469,"January 31, 2013",$248,"2,200,000",NYSE: WMT,"Bentonville, Arkansas",Doug Mcmillon
2,Royal Dutch Shell,Oil and gas,$467,"December 31, 2012",$132,"90,000",LSE: RDSA,The Hague;  London,Ben van Beurden
3,Exxon Mobil Corporation,Oil and gas,$453,"December 31, 2012",$406,"76,900",NYSE: XOM,"Irving, Texas",Rex W. Tillerson
4,China National Petroleum Corporation,Oil and gas,$425,"December 31, 2012",,"1,668,072",—,Beijing,Zhou Jiping
5,Sinopec Group,Oil and gas,$411,"December 31, 2012",$81,"401,000",NYSE: SNP,Beijing,Wang Tianpu
6,BP,Oil and gas,$379,"December 31, 2013",$89,"83,900",LSE: BP,London,Bob Dudley
7,Saudi Aramco,Oil and gas,$311,2012,,"54,041",—,Dhahran,Khalid A. Al-Falih
8,Vitol,Commodities,$303,"January 10, 2013",,"2,800",—,Rotterdam;  Geneva,Ian Taylor
9,State Grid Corporation of China,Electric utility,$290,2012,,"1,564,000",—,Beijing,Liu Zhenya
10,Samsung,Conglomerate,$268,"December 31, 2014",,"427,000",KRX: 005930; KRX: 005935,Samsung Town,Lee Kun-hee
11,Volkswagen Group,Automotive,$254,"December 31, 2012",$77,"502,000",ISIN: DE0007664005,Wolfsburg,Martin Winterkorn
