Ranking,Company,Industry,Revenue (USD billions),FY,Capitalization (USD billions),Employees,Listing,Headquarters,CEO,Extra_Data_1
45,Verizon,Telecommunications,$115,"December 31, 2012",$108,"203,000",NYSE: VZ,"New York City, New York",Ivan Seidenberg,955
46,Koch Industries,Conglomerate,$115,"December 31, 2012",,"60,000",—,"Wichita, Kansas",Charles Koch,191
47,Nippon Telegraph and Telephone,Telecommunications,$113,"March 31, 2013",$73,"205,000",TYO: 9432,Tokyo,Norio Wada,610
48,SK Group,Conglomerate,$112,"December 31, 2012",,"52,377",KRX: 003600,Seoul,Choi Tae-Won,673
49,Hewlett-Packard,Information Technology,$112,"October 31, 2013",$47,"267,000",NYSE: HPQ,"Palo Alto, California",Meg Whitman,645
50,Enel,Electric utility,$111,"December 31, 2012",$34,"59,000",BIT: ENEL,Rome,Fulvio Conti,387
51,Fiat,Automotive,$110,"December 31, 2012",$7,"214,836",BIT: F,Turin,Sergio Marchionne,903
52,UnitedHealth Group,Health care,$110,"December 31, 2012",$62,"99,000",NYSE: UNH,"Minnetonka, Minnesota",Stephen Hemsley,461
53,Tesco,Retail,$110,"February 23, 2013",$42,"493,000",LSE: TSCO,"Cheshunt, Hertfordshire",Philip Clarke,852
54,National Iranian Oil Company,Oil and gas,$110,2011,,"36,000",—,Tehran,Bijan Namdar Zangeneh,270
55,Tata Group,Conglomerate,$105,"March 31, 2014",$109,"455,000",FWB: BMW,Mumbai,Cyrus Pallonji Mistry,265
