Ranking,Company,Industry,Revenue (USD billions),FY,Capitalization (USD billions),Employees,Listing,Headquarters,CEO,Filler_1,Random_Column_2
12,Chevron,Oil and gas,$242,"December 31, 2012",$211,"61,000",NYSE: CVX,"San Ramon, California",John Watson,aObxr,Wy2QK
13,Total,Oil and gas,$240,"December 31, 2013",$120,"111,000",Euronext: FP,Courbevoie,Christophe de Margerie,jOKCBYou,9YNX2
14,Toyota,Automotive,$222,"March 31, 2013",$149,"326,000",TYO: 7203; NYSE: TM,"Toyota, Aichi",Akio Toyoda,otmGv,qsK9d
15,Glencore Xstrata,Commodities,$214,"December 31, 2012",$41.66,"58,000",LSE: GLEN; SEHK: 0805,Baar,Ivan Glasenberg,BXaCc,ZzhQtb
16,Phillips 66,Oil and gas,$182,"December 31, 2012",$39,"13,500",NYSE: PSX,"Houston, Texas",Greg Garland,ofPlQRWR,yVnmld
17,E.ON,Electric utility,$174,"December 31, 2012",$47,"79,000",FWB: EOAN,Düsseldorf,Johannes Teyssen,fUvHC,oSxI6v2
18,Apple,Electronics,$170,"September 28, 2013",$410,"76,000",NASDAQ: AAPL,"Cupertino, California",Tim Cook,wKghcECW,mZOlpQ5
19,Japan Post Holdings,Conglomerate,$168,"March 31, 2013",,"229,000",—,Tokyo,Jiro Saito,CGzJdLg,XUm8d4wz
20,Eni,Oil and gas,$167,"December 31, 2012",$94,"78,000",BIT: ENI,Rome,Paolo Scaroni,QlBzobG,lrBCrH7
21,Gazprom,Oil and gas,$164,"December 31, 2012",$145,"432,000",MCX: GAZP,Moscow,Alexei Miller,gYqCB,n8mqlyI
22,Berkshire Hathaway,Conglomerate,$162,"December 31, 2012",$201,"217,000",NYSE: BRKA; NYSE: BRKB,"Omaha, Nebraska",Warren Buffett,ubpbAURN,la9yQ
