#,Club,Winner,Last win,Runner-up,Last losing final,Filler_1,Extra_Data_2,Random_Column_3
=,Shahin Ahvaz,1,1988,0,N/A,UIceh,929,7hto3hZ
13,Homa,0,N/A,1,1977,hpAMpH,399,cOMd5GI
=,Kheibar Khorramabad,0,N/A,1,1986,MsExsfg,9,clcX4yoi
=,Jonoob Ahvaz,0,N/A,1,1994,nQXoFNY,272,groar
=,Aboomoslem,0,N/A,1,2005,SjRdx,115,7COt1
=,Damash (Pegah),0,N/A,1,2008,TWyDIgA,706,FMkrPecW
=,Rah Ahan,0,N/A,1,2009,QeIWjs,850,zZyIBZ
=,Gostaresh Foolad,0,N/A,1,2010,OMVAOQxJ,907,3Sh4BUvV
=,Shahin Bushehr,0,N/A,1,2012,xMLAU,276,WaPvYMh
=,Mes Kerman,0,N/A,1,2014,LfMENH,152,D9n5M4Ar
