,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Irrelevant_1,Random_Column_2
1999,27,319,397,- 78,11.8,14.7,-2.9,U1iug,KHhuUqJG
2000,26,289,391,- 102,11.0,14.9,-3.9,IeALN,6MVa0X
2001,26,298,390,- 92,11.6,15.1,-3.6,8jjwt,R5tTl
2002,25,310,376,- 66,12.3,14.9,-2.6,0zcdpVVi,IFWsw8Au
2003,24,268,462,- 194,11.0,19.0,-8.0,c5sCs,EwGSF
2004,24,339,463,- 124,14.4,19.7,-5.3,vkSqdhE,YOrOf
2005,23,294,466,- 172,12.9,20.5,-7.6,BwwT7Q,K8sLy4
2006,22,270,366,- 96,12.3,16.7,-4.4,E6FUh4,hYY46iK
2007,21,280,351,- 71,13.2,16.5,-3.3,pu2ec,gsKw3C
2008,20,267,368,- 101,13.0,18.0,-4.9,AVCYNYN,TOautfSb
2009,20,268,365,- 97,13.6,18.5,-4.9,lMYFd,h0K8v
2010,19,233,397,- 164,12.3,20.9,-8.7,nTCNwaj,Qa7jg
