Year,Competition,Venue,Position,Event,Notes,Random_Column_1,Filler_2
1998,European Championships,"Budapest, Hungary",6th,4x100 m relay,44.10,P1kKk,BQQSo
1999,European Junior Championships,"Riga, Latvia",2nd,100 m,11.47,IrFqaeOs,exFuf
1999,European Junior Championships,"Riga, Latvia",2nd,200 m,23.26,frJXz,ZsLUmqqd
1999,European Junior Championships,"Riga, Latvia",2nd,4x100 m relay,44.40,ipbTim,iKwYXy
1999,World Championships,"Seville, Spain",24th (qf),100 m,11.45,QGK1454B,PNShAP
1999,World Championships,"Seville, Spain",10th (h),4x100 m relay,43.86,jUtsfXD,FsDcUm
2000,European Indoor Championships,"Ghent, Belgium",21st (h),60 m,7.40,C3SHvqY,KjyVgs
2000,European Indoor Championships,"Ghent, Belgium",12th (sf),200 m,23.83,5PfQa,HabIdoFG
2000,Olympic Games,"Sydney, Australia",27th (sf),200 m,23.41,sLZwCyd,kNCzb
2000,Olympic Games,"Sydney, Australia",12th (sf),4x100 m relay,43.50,6Qvu7gN,btOaBF
