Year,Competition,Venue,Position,Event,Notes
2001,European U23 Championships,"Amsterdam, Netherlands",1st,100 m,11.61
2001,European U23 Championships,"Amsterdam, Netherlands",1st,200 m,23.30
2001,European U23 Championships,"Amsterdam, Netherlands",1st,4x100 m relay,44.76
2001,World Championships,"Edmonton, Canada",12th (sf),100 m,11.46
2001,World Championships,"Edmonton, Canada",15th (sf),200 m,23.11
2002,European Championships,"Munich, Germany",20th (h),100 m,11.58
2002,European Championships,"Munich, Germany",16th (h),200 m,23.47
2003,World Indoor Championships,"Birmingham, United Kingdom",13th (sf),60 m,7.26
2003,World Championships,"Paris, France",23rd (qf),200 m,23.42
2004,World Indoor Championships,"Budapest, Hungary",13th (sf),60 m,7.30
