Member,Party,Electorate,State,First elected
Frank Timson,Liberal,Higinbotham,Vic,1949
Hon Athol Townley,Liberal,Denison,Tas,1949
Thomas Treloar,Country,Gwydir,NSW,1949
Winton Turnbull,Country,Mallee,Vic,1946
Harry Turner,Liberal,Bradfield,NSW,1952
Hon Eddie Ward,ALP,East Sydney,NSW,"1931, 1932"
David Oliver Watkins,ALP,Newcastle,NSW,1935
William Wentworth,Liberal,Mackellar,NSW,1949
Roy Wheeler,Liberal,Mitchell,NSW,1949
Gough Whitlam,ALP,Werriwa,NSW,1952
Bruce Wight,Liberal,Lilley,Qld,1949
Keith Wilson,Liberal,Sturt,SA,"1937–44 (S), 1949"
Thomas White,Liberal,Balaclava,Vic,1929
