Member,Party,Electorate,State,First elected,Unused_1,Unused_2,Extra_Data_3
Nigel Drury,Liberal,Ryan,Qld,1949,,,906
Gil Duthie,ALP,Wilmot,Tas,1946,,,954
Bill Edmonds,ALP,Herbert,Qld,1946,,,484
Jim Eggins,Country,Lyne,NSW,1949,,,811
Rt Hon Dr H.V. Evatt,ALP,Barton,NSW,1940,,,874
Keith Ewert,ALP,Flinders,Vic,1952,,,475
Rt Hon Arthur Fadden,Country,McPherson,Qld,1949,,,109
Laurie Failes,Country,Lawson,NSW,1949,,,991
David Fairbairn,Liberal,Farrer,NSW,1949,,,243
Hon Allen Fairhall,Liberal,Paterson,NSW,1949,,,488
Bill Falkinder,Liberal,Franklin,Tas,1946,,,387
Joe Fitzgerald,ALP,Phillip,NSW,1949,,,454
Hon Josiah Francis,Liberal,Moreton,Qld,1922,,,462
