Member,Party,Electorate,State,First elected,Unused_1,Irrelevant_2
Allan Fraser,ALP,Eden-Monaro,NSW,1943,,IaOMFzBo
Jim Fraser,ALP,Australian Capital Territory,ACT,1951,,CdBbnS
Gordon Freeth,Liberal,Forrest,WA,1949,,1rQVL2Ca
Arthur Fuller,ALP,Hume,NSW,"1943–49, 1951",,wBFzdDOQ
Pat Galvin,ALP,Kingston,SA,1951,,Ur6bKi
Bill Graham,Liberal,St George,NSW,1949,,QFURTWNQ
Bill Grayden,Liberal,Swan,WA,1949,,2LFVUSc
Arthur Greenup,ALP,Dalley,NSW,1953,,ZktZN0
Charles Griffiths,ALP,Shortland,NSW,1949,,B7kStjhm
Jo Gullett,Liberal,Henty,Vic,1946,,4qXI6F
Len Hamilton,Country,Canning,WA,1946,,WZhAA9W
Rt Hon Eric Harrison,Liberal,Wentworth,NSW,1931,,SqjEg
Jim Harrison,ALP,Blaxland,NSW,1949,,pbYDNap
