Member,Party,Electorate,State,First elected
Bernard Corser,Country,Wide Bay,Qld,1928
Dominic Costa,ALP,Banks,NSW,1949
Hon John Cramer,Liberal,Bennelong,NSW,1949
Frank Crean,ALP,Melbourne Ports,Vic,1951
Jack Cremean,ALP,Hoddle,Vic,1949
Dan Curtin,ALP,Watson,NSW,1949
Fred Daly,ALP,Grayndler,NSW,1943
Charles Davidson,Country,Dawson,Qld,1946
Billy Davies,ALP,Cunningham,NSW,1949
Frank Davis,Liberal,Deakin,Vic,1949
Roger Dean,Liberal,Robertson,NSW,1949
Alec Downer,Liberal,Angas,SA,1949
Hon Arthur Drakeford,ALP,Maribyrnong,Vic,1934
Hon David Drummond,Country,New England,NSW,1949
