Member,Party,Electorate,State,First elected
Rt Hon Sir Earle Page,Country,Cowper,NSW,1919
Henry Pearce,Liberal,Capricornia,Qld,1949
Ted Peters,ALP,Burke,Vic,1949
Hon Reg Pollard,ALP,Lalor,Vic,1937
Hon Bill Riordan,ALP,Kennedy,Qld,1936
Hugh Roberton,Country,Riverina,NSW,1949
Hon Sol Rosevear,ALP,Dalley,NSW,1931
Edgar Russell,ALP,Grey,SA,1943
Rupert Ryan,Liberal,Flinders,Vic,1940
Tom Sheehan,ALP,Cook,NSW,1937
Frank Stewart,ALP,Lang,NSW,1953
Reginald Swartz,Liberal,Darling Downs,Qld,1949
Albert Thompson,ALP,Port Adelaide,SA,1946
