Member,Party,Electorate,State,First elected,Noise_Field_1,Unused_2,Random_Column_3
Hon Paul Hasluck,Liberal,Curtin,WA,1949,MupNQ,,q9utj
Hon William Haworth,Liberal,Isaacs,Vic,1949,OITgCXIM,,Qce0J
Leslie Haylen,ALP,Parkes,NSW,1943,hffDGzP,,UQXIIUl
Rt Hon Harold Holt,Liberal,Higgins,Vic,1935,jspDVi,,nk7we7er
John Howse,Liberal,Calare,NSW,1946,NRUqxnQD,,XX2O2Af
Rt Hon Billy Hughes,Liberal,Bradfield,NSW,1901,tZzvnQA,,c83h51MW
Alan Hulme,Liberal,Petrie,Qld,1949,szJCTyG,,S50AK
William Jack,Liberal,North Sydney,NSW,1949,UlhGdI,,7TmRI27
Rowley James,ALP,Hunter,NSW,1928,tixKi,,HCqWG27Q
Hon Herbert Johnson,ALP,Kalgoorlie,WA,1940,whcVEfmB,,KBD9Or
Bob Joshua,ALP,Ballaarat,Vic,1951,GJhNwAZ,,ziCXS
Percy Joske,Liberal,Balaclava,Vic,1951,BUczpN,,AglpOKjE
Hon Wilfrid Kent Hughes,Liberal,Chisholm,Vic,1949,uKwCBd,,ZYgSU
