Member,Party,Electorate,State,First elected,Filler_1,Dummy_Col_2,Dummy_Col_3
Wilfred Brimblecombe,Country,Maranoa,Qld,1951,qCeAhi,odCJzuB,Whehfy
Geoffrey Brown,Liberal,McMillan,Vic,1949,jZTFhD,GjFhN,PtoIEA
Hon Harry Bruce,ALP,Leichhardt,Qld,1951,DcItQQl,DsfQnI,mutXiam
Tom Burke,ALP,Perth,WA,1943,VovFEw,MARvyj,NsOOhYGX
Bill Bryson,ALP,Wills,Vic,"1943–1946, 1949",yYqsIT,AGpaYOR,uFIBhE
Hon Archie Cameron,Liberal,Barker,SA,1934,ENrykiC,NKpGVo,WfaGj
Clyde Cameron,ALP,Hindmarsh,SA,1949,pyFgWo,GOhOR,fiJJQSM
Dr Donald Cameron,Liberal,Oxley,Qld,1949,uhuCQ,lklwUdg,bnhaI
Hon Arthur Calwell,ALP,Melbourne,Vic,1940,lUFqfN,HSvuGa,mlnWvYc
Rt Hon Richard Casey,Liberal,La Trobe,Vic,"1931–40, 1949",IWbHe,wyxKu,qjXiys
Hon Cyril Chambers,ALP,Adelaide,SA,1943,NxnYmn,aFVhP,LCfNXSTP
Rt Hon Ben Chifley,ALP,Macquarie,NSW,"1928–31, 1940",jCitr,tLrkZ,XehMNb
Hon Percy Clarey,ALP,Bendigo,Vic,1949,rtzGBf,tOtLD,OxXts
Joe Clark,ALP,Darling,NSW,1934,oGOBcB,auNGFaOP,KKygy
