Race,Race Name,Pole Position,Fastest lap,Winning driver,Winning team,Yokohama winner,Jay-Ten Winner,Report,Extra_Data_1,Filler_2
13,Race of UK,Yvan Muller,Robert Huff,Yvan Muller,Chevrolet,Franz Engstler,no finishers,Report,872,UWpMc
14,Race of UK,,Yvan Muller,Yvan Muller,Chevrolet,Franz Engstler,no finishers,Report,746,lmcLuL
15,Race of Germany,Yvan Muller,Robert Huff,Yvan Muller,Chevrolet,Stefano D'Aste,Ibrahim Okyay,Report,273,GfeIVg
16,Race of Germany,,Tom Coronel,Franz Engstler,Liqui Moly Team Engstler,Franz Engstler,Ibrahim Okyay,Report,819,ChBjlp
17,Race of Spain,Yvan Muller,Yvan Muller,Yvan Muller,Chevrolet,Kristian Poulsen,Fabio Fabiani,Report,179,RALmQnui
18,Race of Spain,,Yvan Muller,Yvan Muller,Chevrolet,Kristian Poulsen,Fabio Fabiani,Report,652,qklxMlvp
19,Race of Japan,Alain Menu,Alain Menu,Alain Menu,Chevrolet,Michel Nykjær,Charles Ng,Report,37,cScpK
20,Race of Japan,,Robert Dahlgren,Tom Coronel,ROAL Motorsport,Michel Nykjær,Charles Ng,Report,905,tOewYdW
21,Race of China,Alain Menu,Robert Huff,Alain Menu,Chevrolet,Colin Turkington,Fabio Fabiani,Report,23,uOjmuqs
22,Race of China,,Yvan Muller,Yvan Muller,Chevrolet,Colin Turkington,Fabio Fabiani,Report,732,symMv
23,Guia Race of Macau,Robert Huff,Yvan Muller,Robert Huff,Chevrolet,Michel Nykjær,Jo Merszei,Report,150,ewhaC
24,Guia Race of Macau,,Robert Huff,Robert Huff,Chevrolet,Michel Nykjær,Jo Merszei,Report,416,pheTPvUh
