Date,Tournament,Location,Winner,Score,1st prize ($),Filler_1,Extra_Data_2,Unused_3
Jun 23,Canon Greater Hartford Open,Connecticut,Phil Mickelson (21),266 (–14),"720,000",cNceQWdJ,113,
Jun 30,FedEx St. Jude Classic,Tennessee,Len Mattiace (2),266 (–18),"684,000",mSURmIph,108,
Jul 7,Advil Western Open,Illinois,Jerry Kelly (2),269 (–19),"720,000",kOJAmtK,595,
Jul 14,Greater Milwaukee Open,Wisconsin,Jeff Sluman (6),261 (–23),"558,000",OseMjfAY,522,
Jul 21,The Open Championship (British Open),Scotland,Ernie Els (10),278 (–6),"1,106,140",rCsbjJAk,259,
Jul 21,B.C. Open,New York,Spike McRoy (1),269 (–19),"378,000",CdOcF,328,
Jul 28,John Deere Classic,Illinois,J. P. Hayes (2),262 (–22),"540,000",IixhSELX,117,
Aug 4,The International,Colorado,Rich Beem (2),44 (Stableford),"810,000",UkDNxYI,938,
Aug 11,Buick Open,Michigan,Tiger Woods (33),271 (–17),"594,000",YPXcdqdM,763,
Aug 18,PGA Championship,Minnesota,Rich Beem (3),278 (–10),"990,000",IsaRLlSY,508,
Aug 25,Reno-Tahoe Open,Nevada,Chris Riley (1),271 (–17),"540,000",YMjhF,509,
Aug 25,WGC-NEC Invitational,Washington,Craig Parry (1),268 (–16),"1,000,000",muHlx,511,
