Date,Tournament,Location,Winner,Score,1st prize ($)
Jul 21,B.C. Open,New York,Spike McRoy (1),269 (–19),"378,000"
Jul 28,John Deere Classic,Illinois,J. P. Hayes (2),262 (–22),"540,000"
Aug 4,The International,Colorado,Rich Beem (2),44 (Stableford),"810,000"
Aug 11,Buick Open,Michigan,Tiger Woods (33),271 (–17),"594,000"
Aug 18,PGA Championship,Minnesota,Rich Beem (3),278 (–10),"990,000"
Aug 25,Reno-Tahoe Open,Nevada,Chris Riley (1),271 (–17),"540,000"
Aug 25,WGC-NEC Invitational,Washington,Craig Parry (1),268 (–16),"1,000,000"
Sep 1,Air Canada Championship,Canada,Gene Sauers (3),269 (–15),"630,000"
Sep 8,Bell Canadian Open,Canada,John Rollins (1),272 (–16),"720,000"
Sep 15,SEI Pennsylvania Classic,Pennsylvania,Dan Forsman (5),270 (–14),"594,000"
