Date,Tournament,Location,Winner,Score,1st prize ($),Dummy_Col_1,Random_Column_2,Unused_3
Mar 31,Shell Houston Open,Texas,Vijay Singh (10),266 (–22),"720,000",mKaiIU,BWSqg,
Apr 7,BellSouth Classic,Georgia,Retief Goosen (2),272 (–16),"684,000",nqFokj,cc539,
Apr 14,Masters Tournament,Georgia,Tiger Woods (31),276 (–12),"1,008,000",ynFXuYkx,JZ5ENPr,
Apr 21,WorldCom Classic - The Heritage of Golf,South Carolina,Justin Leonard (7),270 (–14),"720,000",SnDWAR,AiMLgJ,
Apr 28,Greater Greensboro Chrysler Classic,North Carolina,Rocco Mediate (5),272 (–16),"684,000",aAkqQEi,xypq1Z,
May 5,Compaq Classic of New Orleans,Louisiana,K.J. Choi (1),271 (–17),"810,000",OGkJwRS,jN7Gx,
May 12,Verizon Byron Nelson Classic,Texas,Shigeki Maruyama (2),266 (–14),"864,000",XvHSyo,eH2RT4,
May 19,MasterCard Colonial,Texas,Nick Price (18),267 (–13),"774,000",BWEmJtH,XrPtn,
May 26,The Memorial Tournament,Ohio,Jim Furyk (7),274 (–14),"810,000",qZYBNhA,htaHS,
Jun 2,Kemper Insurance Open,Maryland,Bob Estes (4),273 (–11),"648,000",bkyePZf,ML6yc,
Jun 9,Buick Classic,New York,Chris Smith (1),272 (–12),"630,000",dwmLdg,VV88GBP,
Jun 16,U.S. Open,New York,Tiger Woods (32),277 (–3),"1,000,000",RCfNPtFv,sjBx9IwI,
