Date,Tournament,Location,Winner,Score,1st prize ($),Irrelevant_1,Dummy_Col_2,Noise_Field_3
Jan 6,Mercedes Championships,Hawaii,Sergio García (3),274 (–18),"720,000",HoquAMI,jwLcSTa,wmnPp
Jan 14,Sony Open in Hawaii,Hawaii,Jerry Kelly (1),266 (–14),"720,000",O7WGgU,JvOIVNYS,QCDZVsD
Jan 20,Bob Hope Chrysler Classic,California,Phil Mickelson (20),330 (–30),"720,000",nH8T39V,lqWwr,pGbPA
Jan 27,Phoenix Open,Arizona,Chris DiMarco (3),267 (–17),"720,000",xXr6X1,RhIojT,YZWACgSg
Feb 3,AT&T Pebble Beach National Pro-Am,California,Matt Gogel (1),274 (–14),"720,000",AQvlE,WvjoukZ,gulPkV
Feb 10,Buick Invitational,California,José María Olazábal (6),275 (–13),"648,000",HSxZy3P,NaYfBEv,wvdVS
Feb 17,Nissan Open,California,Len Mattiace (1),269 (–15),"666,000",G7LZ4mR,QHtWo,gDrFpxQp
Feb 24,Touchstone Energy Tucson Open,Arizona,Ian Leggatt (1),268 (–20),"540,000",3dvFlNML,cYsPFEJ,ngLhXyix
Feb 24,WGC-Accenture Match Play Championship,California,Kevin Sutherland (1),1 up,"1,000,000",neY2p0i,CxTTJXwH,dZFRkUE
Mar 3,Genuity Championship,Florida,Ernie Els (9),271 (–17),"846,000",M3MgKtKc,mRGnE,rCDQIpEP
Mar 10,Honda Classic,Florida,Matt Kuchar (1),269 (–19),"630,000",TUZTRJB,cdoHDGY,dVTpX
Mar 17,Bay Hill Invitational,Florida,Tiger Woods (30),275 (–13),"720,000",fV9f6cnI,Rvhqk,aHYNZGfz
Mar 24,The Players Championship,Florida,Craig Perks (1),280 (–8),"1,080,000",uJEaQXdj,nUICH,eotIzRi
