Pos.,Time,Athlete,Country,Venue,Date,Noise_Field_1,Noise_Field_2,Unused_3
1,12.21 (+0.7),Yordanka Donkova,Bulgaria,Stara Zagora,20 August 1988,KlyBRP,bdizSiH,
2,12.25 (+1.4),Ginka Zagorcheva,Bulgaria,Drama,8 August 1987,GfrOtXxF,TIfzmGHt,
3,12.26 (+1.7),Ludmila Narozhilenko,Russia,Seville,6 June 1992,lzOlSL,QQskmvA,
3,12.26 (+1.2),Brianna Rollins,United States,Des Moines,22 June 2013,FJvyObEj,avOHSpN,
5,12.28 (+1.1),Sally Pearson,Australia,Daegu,3 September 2011,DnJXJMFl,gBdPVNSo,
6,12.33 (−0.3),Gail Devers,United States,Sacramento,23 July 2000,PGcTAaW,zEhSny,
7,12.36 (+1.9),Grażyna Rabsztyn,Poland,Warsaw,13 June 1980,ISHidcnJ,qjzlKzME,
8,12.37 (+1.5),Joanna Hayes,United States,Athens,24 August 2004,Phwlz,JIbLjvJH,
8,12.37 (-0.2),Dawn Harper,United States,London,7 August 2012,OcGBxbbX,CpqCYf,
10,12.39 (+1.5),Vera Komisova,Soviet Union,Rome,5 August 1980,FvNrUOH,CnhyBATA,
10,12.39 (+1.8),Nataliya Grygoryeva,Soviet Union,Kiev,11 July 1991,ImYlco,CAjHyl,
12,12.42 (+1.8),Bettine Jahn,East Germany,Berlin,8 June 1983,UuuKWK,lGyzmOY,
12,12.42 (+2.0),Anjanette Kirkland,United States,Edmonton,11 August 2001,SYIzYcKl,bQzIgd,
